"bigram","freq","speaker"
"explain compound",1,"PAM"
"explosion sound",1,"PAM"
"explosive sob",1,"PAM"
"eye idiot",1,"PAM"
"failing dairy",1,"PAM"
"farm flooded",1,"PAM"
"fart locker",1,"PAM"
"fat liar",1,"PAM"
"fat smelly",1,"PAM"
"father guido",1,"PAM"
"fawty shawty",1,"PAM"
"feel light",1,"PAM"
"feel sexy",1,"PAM"
"fence post",1,"PAM"
"field agent",1,"PAM"
"field agents",1,"PAM"
"fifty gallons",1,"PAM"
"figgis newton",1,"PAM"
"fight club",1,"PAM"
"finally nailed",1,"PAM"
"finally triumph",1,"PAM"
"fingerprint reader",1,"PAM"
"fingers belches",1,"PAM"
"fingers bleed",1,"PAM"
"finish sharknoid",1,"PAM"
"fire drill",1,"PAM"
"fire hazard",1,"PAM"
"fish balls",1,"PAM"
"fish fight",1,"PAM"
"fist hole",1,"PAM"
"fister roboto",1,"PAM"
"fit inside",1,"PAM"
"fix dinner",1,"PAM"
"flavor enhancer",1,"PAM"
"flight 934",1,"PAM"
"flinging empty",1,"PAM"
"floor model",1,"PAM"
"flow toilets",1,"PAM"
"fly list",1,"PAM"
"folksy b.a",1,"PAM"
"follow kenny",1,"PAM"
"football teams",1,"PAM"
"forfeit league",1,"PAM"
"forty ounce",1,"PAM"
"found lana's",1,"PAM"
"fourteen cents",1,"PAM"
"fourteen thousand",1,"PAM"
"frazier's dumb",1,"PAM"
"freakin beers",1,"PAM"
"freakin rehab",1,"PAM"
"freaking computers",1,"PAM"
"freaky gender",1,"PAM"
"free pass",1,"PAM"
"fresh batch",1,"PAM"
"frickin acid",1,"PAM"
"frickin brake",1,"PAM"
"frickin clip",1,"PAM"
"frickin context",1,"PAM"
"frickin coup",1,"PAM"
"frickin disaster",1,"PAM"
"frickin edie",1,"PAM"
"frickin excited",1,"PAM"
"frickin hands",1,"PAM"
"frickin jillionaire",1,"PAM"
"frickin mind",1,"PAM"
"frickin nightmare",1,"PAM"
"frickin skinny",1,"PAM"
"frickin starving",1,"PAM"
"frickin tits",1,"PAM"
"frickin zod",1,"PAM"
"fricking head's",1,"PAM"
"friday morning",1,"PAM"
"friend department",1,"PAM"
"frstrrrdkerrrrrt erperperrrrrn",1,"PAM"
"frying pan",1,"PAM"
"fucking kill",1,"PAM"
"fuel efficient",1,"PAM"
"funny story",1,"PAM"
"furlock bones",1,"PAM"
"gaffer tape",1,"PAM"
"gal's love",1,"PAM"
"gals pammy",1,"PAM"
"game called",1,"PAM"
"game changer",1,"PAM"
"gandhi dude",1,"PAM"
"gang rape",1,"PAM"
"gay republicans",1,"PAM"
"gazillion percent",1,"PAM"
"geezy petes",1,"PAM"
"gehrig's disease",1,"PAM"
"gender reversal",1,"PAM"
"giant penis",1,"PAM"
"giant pussy",1,"PAM"
"gigantic bell",1,"PAM"
"gigantic pussy",1,"PAM"
"gilda gotrocks",1,"PAM"
"gimme yum",1,"PAM"
"ginger savings",1,"PAM"
"glass breaking",1,"PAM"
"glenda gotrocks",1,"PAM"
"glue withdrawal",1,"PAM"
"god bang",1,"PAM"
"god cyril",1,"PAM"
"god hates",1,"PAM"
"god lana",1,"PAM"
"god speaking",1,"PAM"
"goddamn bear",1,"PAM"
"goddamn bowling",1,"PAM"
"goddamn brain",1,"PAM"
"goddamn chickenshit",1,"PAM"
"goddamn fridge",1,"PAM"
"goddamn grain",1,"PAM"
"goddamn space",1,"PAM"
"gonna choke",1,"PAM"
"gonna cook",1,"PAM"
"gonna drop",1,"PAM"
"gonna kill",1,"PAM"
"gonna owe",1,"PAM"
"gonna play",1,"PAM"
"gonna pretend",1,"PAM"
"gonna push",1,"PAM"
"gonna seduce",1,"PAM"
"gonna stay",1,"PAM"
"gonna type",1,"PAM"
"good's happening",1,"PAM"
"gordon shumway",1,"PAM"
"gotcher pumpkin",1,"PAM"
"gotta bounce",1,"PAM"
"gotta bump",1,"PAM"
"gotta forfeit",1,"PAM"
"gotta hand",1,"PAM"
"gotta hurt",1,"PAM"
"gotta pee",1,"PAM"
"gotta run",1,"PAM"
"gotta wash",1,"PAM"
"grab bars",1,"PAM"
"gracias julio",1,"PAM"
"graham crackers",1,"PAM"
"grain alcohol's",1,"PAM"
"grain elevator",1,"PAM"
"grand apiece",1,"PAM"
"grand minus",1,"PAM"
"greenbay wisconsin",1,"PAM"
"ground rules",1,"PAM"
"grrgh grrgh",1,"PAM"
"grrrgh grrrgh",1,"PAM"
"gstaad burps",1,"PAM"
"guard car",1,"PAM"
"guard uniforms",1,"PAM"
"guess vodka",1,"PAM"
"guido sardoochbag",1,"PAM"
"gummi bears",1,"PAM"
"gun fire",1,"PAM"
"gun gimme",1,"PAM"
"gun librarian",1,"PAM"
"guy pay",1,"PAM"
"guys chill",1,"PAM"
"guys hey",1,"PAM"
"guys's kneecaps",1,"PAM"
"h.r cyril",1,"PAM"
"ha hell",1,"PAM"
"hai mm",1,"PAM"
"hai moto",1,"PAM"
"half gay",1,"PAM"
"ham cozy",1,"PAM"
"han fastolfe",1,"PAM"
"hand drive",1,"PAM"
"hand job",1,"PAM"
"handingo action",1,"PAM"
"hang dial",1,"PAM"
"hangin grimace",1,"PAM"
"hangin jorge",1,"PAM"
"happenin sunday",1,"PAM"
"happy hour",1,"PAM"
"har tbeat",1,"PAM"
"harassment complaint",1,"PAM"
"hard neck",1,"PAM"
"hard watching",1,"PAM"
"hate crime",1,"PAM"
"hate slappin",1,"PAM"
"hates robots",1,"PAM"
"hay ready",1,"PAM"
"head clown",1,"PAM"
"head ee",1,"PAM"
"head feels",1,"PAM"
"head head",1,"PAM"
"head smash",1,"PAM"
"head's pounding",1,"PAM"
"hear hear",1,"PAM"
"heard coming",1,"PAM"
"heard conway",1,"PAM"
"heart beating",1,"PAM"
"heh head",1,"PAM"
"hell tunt",1,"PAM"
"heroic struggle",1,"PAM"
"herringbone milking",1,"PAM"
"hey cyril",1,"PAM"
"hey edie",1,"PAM"
"hey guys",1,"PAM"
"hey heyyy",1,"PAM"
"hey inappropriate",1,"PAM"
"hey krieger",1,"PAM"
"hey neck",1,"PAM"
"hey ray",1,"PAM"
"hey sleepyhead",1,"PAM"
"hey track",1,"PAM"
"highly doubt",1,"PAM"
"hip ahem",1,"PAM"
"hip hip",1,"PAM"
"hippie shirt",1,"PAM"
"hits pam",1,"PAM"
"hitter quitter",1,"PAM"
"hmm hai",1,"PAM"
"hmm infiltrated",1,"PAM"
"ho holy",1,"PAM"
"hoh lee",1,"PAM"
"hole bullets",1,"PAM"
"hole clears",1,"PAM"
"hole slaps",1,"PAM"
"holes shoot",1,"PAM"
"hollywood gala",1,"PAM"
"hollywood honcho",1,"PAM"
"holy coke",1,"PAM"
"holy dickballs",1,"PAM"
"holy dickburn",1,"PAM"
"holy shitspace",1,"PAM"
"holy shitzombies",1,"PAM"
"holy shrink",1,"PAM"
"holy snacrophages",1,"PAM"
"homemade gin",1,"PAM"
"homey homies",1,"PAM"
"honeymoon suite",1,"PAM"
"honor dicknuts",1,"PAM"
"hook hand",1,"PAM"
"hook snoopin",1,"PAM"
"hook ya",1,"PAM"
"horatio cornblower",1,"PAM"
"horn honks",1,"PAM"
"hostage situation",1,"PAM"
"hot asian",1,"PAM"
"hot dirty",1,"PAM"
"hot pockets",1,"PAM"
"hot set",1,"PAM"
"houdini died",1,"PAM"
"hour flight",1,"PAM"
"hours meet",1,"PAM"
"hsa switchover",1,"PAM"
"huge explosive",1,"PAM"
"huge waste",1,"PAM"
"huh date",1,"PAM"
"huh torvie",1,"PAM"
"huh uh",1,"PAM"
"huh yum",1,"PAM"
"human life",1,"PAM"
"hundred pounds",1,"PAM"
"hundred thousand",1,"PAM"
"hunh unh",1,"PAM"
"hurt huh",1,"PAM"
"husband grunts",1,"PAM"
"hyogo prefecture",1,"PAM"
"hypnotized people",1,"PAM"
"hypocrite cooze",1,"PAM"
"idiot eye",1,"PAM"
"ike turner.i",1,"PAM"
"impossible dream",1,"PAM"
"improv huh",1,"PAM"
"inappropriate workplace",1,"PAM"
"ingrown hairs",1,"PAM"
"innernet porn",1,"PAM"
"innocent migrant",1,"PAM"
"inspiring story",1,"PAM"
"insurance policy",1,"PAM"
"ironic huh",1,"PAM"
"isis agent",1,"PAM"
"isis intranet",1,"PAM"
"isis laughing",1,"PAM"
"isis support",1,"PAM"
"issued life",1,"PAM"
"izzat innernet",1,"PAM"
"izzat weird",1,"PAM"
"jack dick",1,"PAM"
"jackson makes",1,"PAM"
"jammed wide",1,"PAM"
"jane's stupid",1,"PAM"
"japanese onsen",1,"PAM"
"je sus",1,"PAM"
"jeez ehh",1,"PAM"
"jeez hostile",1,"PAM"
"jeez larue",1,"PAM"
"jerry garcia's",1,"PAM"
"jesus calm",1,"PAM"
"jesus jones",1,"PAM"
"jesus ms",1,"PAM"
"jillion cops",1,"PAM"
"jillion pounds",1,"PAM"
"jillion stupid",1,"PAM"
"jo dancer",1,"PAM"
"jo jo",1,"PAM"
"job tomorrow",1,"PAM"
"job's dealing",1,"PAM"
"joe frazier's",1,"PAM"
"joint exhales",1,"PAM"
"ju luau",1,"PAM"
"judgy feeling",1,"PAM"
"jumbo scrimps",1,"PAM"
"kane thunks",1,"PAM"
"karen carpenter's",1,"PAM"
"kay bye",1,"PAM"
"kenny crybaby",1,"PAM"
"kenny loggins",1,"PAM"
"kentucky moon",1,"PAM"
"key component",1,"PAM"
"key ya",1,"PAM"
"kick ass",1,"PAM"
"kidding 36",1,"PAM"
"kidnapper's neck",1,"PAM"
"kill decepticon",1,"PAM"
"kill key",1,"PAM"
"killing cops",1,"PAM"
"kills jermaine",1,"PAM"
"kinda chupacabra",1,"PAM"
"kinda hard",1,"PAM"
"kinda scary",1,"PAM"
"knobbly vibrating",1,"PAM"
"kobe beef",1,"PAM"
"krieg ow",1,"PAM"
"krieger dressed",1,"PAM"
"krieger nazi",1,"PAM"
"krieger sells",1,"PAM"
"krieger shuckin",1,"PAM"
"krieger walk",1,"PAM"
"krieger ya",1,"PAM"
"krieger's selling",1,"PAM"
"lady corn",1,"PAM"
"lamb ding",1,"PAM"
"lana cover",1,"PAM"
"lana lana",1,"PAM"
"lana'n cyril",1,"PAM"
"lana's diary",1,"PAM"
"lana's pissed",1,"PAM"
"lana's shacked",1,"PAM"
"late slamming",1,"PAM"
"late what'd",1,"PAM"
"laughing coughs",1,"PAM"
"laughing holy",1,"PAM"
"laughing ouch",1,"PAM"
"laughing yeah",1,"PAM"
"laughs duh",1,"PAM"
"laughs talk",1,"PAM"
"laughs yeah",1,"PAM"
"lawsuit waiting",1,"PAM"
"league night",1,"PAM"
"learn latin",1,"PAM"
"leavin yer",1,"PAM"
"lee explosion",1,"PAM"
"left dear",1,"PAM"
"legally binding",1,"PAM"
"length dipshit",1,"PAM"
"leon wins",1,"PAM"
"lever uh",1,"PAM"
"li'l baby",1,"PAM"
"lick bag",1,"PAM"
"life advice",1,"PAM"
"life crickets",1,"PAM"
"life crush",1,"PAM"
"life hating",1,"PAM"
"life insurance",1,"PAM"
"light takes",1,"PAM"
"light travels",1,"PAM"
"light year's",1,"PAM"
"lightning bolt",1,"PAM"
"limit unicorn",1,"PAM"
"lincoln log",1,"PAM"
"line's cut",1,"PAM"
"liquor dressing",1,"PAM"
"list uh",1,"PAM"
"literal bellyaching",1,"PAM"
"literally murder",1,"PAM"
"loan modification",1,"PAM"
"lookin bastard",1,"PAM"
"lot huh",1,"PAM"
"lou gehrig's",1,"PAM"
"lousy timing",1,"PAM"
"lovable driver",1,"PAM"
"love cyril",1,"PAM"
"love taps",1,"PAM"
"low blood",1,"PAM"
"low flow",1,"PAM"
"lowest deductible",1,"PAM"
"lsd gummi",1,"PAM"
"lucky night",1,"PAM"
"luke troy",1,"PAM"
"lunch hot",1,"PAM"
"lunch pam",1,"PAM"
"lying ass",1,"PAM"
"machine gun",1,"PAM"
"mandatory meeting",1,"PAM"
"marbles car",1,"PAM"
"marley chuckles",1,"PAM"
"married crazy",1,"PAM"
"masturbate til",1,"PAM"
"matter ya",1,"PAM"
"maximum voltage",1,"PAM"
"mcduck eh",1,"PAM"
"meal snacks",1,"PAM"
"meant cut",1,"PAM"
"meant suckin",1,"PAM"
"measly dollars",1,"PAM"
"medical science",1,"PAM"
"meh heh",1,"PAM"
"meh whew",1,"PAM"
"metaph phuh",1,"PAM"
"mica cyril",1,"PAM"
"michael findlay",1,"PAM"
"michael gray",1,"PAM"
"midge hey",1,"PAM"
"midge olerud",1,"PAM"
"mighta grabbed",1,"PAM"
"migrant farmhand",1,"PAM"
"mike ducockless",1,"PAM"
"milk sweet",1,"PAM"
"milking machine",1,"PAM"
"milking parlors",1,"PAM"
"mind america",1,"PAM"
"mind reader",1,"PAM"
"miss fire",1,"PAM"
"miss hostile",1,"PAM"
"miss uh",1,"PAM"
"mm cocaine",1,"PAM"
"mm hmm",1,"PAM"
"mm kay",1,"PAM"
"mm mm",1,"PAM"
"moaning lisa",1,"PAM"
"mom died",1,"PAM"
"mom's dog",1,"PAM"
"monkeys fighting",1,"PAM"
"monster truck",1,"PAM"
"moshiwake arimasen",1,"PAM"
"moto san",1,"PAM"
"mouse caught",1,"PAM"
"mouth spitting",1,"PAM"
"mouth's killing",1,"PAM"
"muh huh",1,"PAM"
"mule kicked",1,"PAM"
"murder mystery",1,"PAM"
"music tourist",1,"PAM"
